Date,Apple,Microsoft
2023-01-03,125.06999969482422,239.5800018310547
2023-01-04,126.36000061035156,229.10000610351562
2023-01-05,125.0199966430664,222.30999755859375
2023-01-06,129.6199951171875,224.92999267578125
2023-01-09,130.14999389648438,227.1199951171875
2023-01-10,130.72999572753906,228.85000610351562
2023-01-11,133.49000549316406,235.77000427246094
2023-01-12,133.41000366210938,238.50999450683594
2023-01-13,134.75999450683594,239.22999572753906
2023-01-17,135.94000244140625,240.35000610351562
2023-01-18,135.2100067138672,235.80999755859375
2023-01-19,135.27000427246094,231.92999267578125
2023-01-20,137.8699951171875,240.22000122070312
2023-01-23,141.11000061035156,242.5800018310547
2023-01-24,142.52999877929688,242.0399932861328
2023-01-25,141.86000061035156,240.61000061035156
2023-01-26,143.9600067138672,248.0
2023-01-27,145.92999267578125,248.16000366210938
2023-01-30,143.0,242.7100067138672
2023-01-31,144.2899932861328,247.80999755859375
2023-02-01,145.42999267578125,252.75
2023-02-02,150.82000732421875,264.6000061035156
2023-02-03,154.5,258.3500061035156
2023-02-06,151.72999572753906,256.7699890136719
2023-02-07,154.64999389648438,267.55999755859375
2023-02-08,151.9199981689453,266.7300109863281
2023-02-09,150.8699951171875,263.6199951171875
2023-02-10,151.00999450683594,263.1000061035156
2023-02-13,153.85000610351562,271.32000732421875
2023-02-14,153.1999969482422,272.1700134277344
2023-02-15,155.3300018310547,269.32000732421875
2023-02-16,153.7100067138672,262.1499938964844
2023-02-17,152.5500030517578,258.05999755859375
2023-02-21,148.47999572753906,252.6699981689453
2023-02-22,148.91000366210938,251.50999450683594
2023-02-23,149.39999389648438,254.77000427246094
2023-02-24,146.7100067138672,249.22000122070312
2023-02-27,147.9199981689453,250.16000366210938
2023-02-28,147.41000366210938,249.4199981689453
2023-03-01,145.30999755859375,246.27000427246094
2023-03-02,145.91000366210938,251.11000061035156
2023-03-03,151.02999877929688,255.2899932861328
2023-03-06,153.8300018310547,256.8699951171875
2023-03-07,151.60000610351562,254.14999389648438
2023-03-08,152.8699951171875,253.6999969482422
2023-03-09,150.58999633789062,252.32000732421875
2023-03-10,148.5,248.58999633789062
2023-03-13,150.47000122070312,253.9199981689453
2023-03-14,152.58999633789062,260.7900085449219
2023-03-15,152.99000549316406,265.44000244140625
2023-03-16,155.85000610351562,276.20001220703125
2023-03-17,155.0,279.42999267578125
2023-03-20,157.39999389648438,272.2300109863281
2023-03-21,159.27999877929688,273.7799987792969
2023-03-22,157.8300018310547,272.2900085449219
2023-03-23,158.92999267578125,277.6600036621094
2023-03-24,160.25,280.57000732421875
2023-03-27,158.27999877929688,276.3800048828125
2023-03-28,157.64999389648438,275.2300109863281
2023-03-29,160.77000427246094,280.510009765625
2023-03-30,162.36000061035156,284.04998779296875
2023-03-31,164.89999389648438,288.29998779296875
2023-04-03,166.1699981689453,287.2300109863281
2023-04-04,165.6300048828125,287.17999267578125
2023-04-05,163.75999450683594,284.3399963378906
2023-04-06,164.66000366210938,291.6000061035156
2023-04-10,162.02999877929688,289.3900146484375
2023-04-11,160.8000030517578,282.8299865722656
2023-04-12,160.10000610351562,283.489990234375
2023-04-13,165.55999755859375,289.8399963378906
2023-04-14,165.2100067138672,286.1400146484375
2023-04-17,165.22999572753906,288.79998779296875
2023-04-18,166.47000122070312,288.3699951171875
2023-04-19,167.6300048828125,288.45001220703125
2023-04-20,166.64999389648438,286.1099853515625
2023-04-21,165.02000427246094,285.760009765625
2023-04-24,165.3300018310547,281.7699890136719
2023-04-25,163.77000427246094,275.4200134277344
2023-04-26,163.75999450683594,295.3699951171875
2023-04-27,168.41000366210938,304.8299865722656
2023-04-28,169.67999267578125,307.260009765625
2023-05-01,169.58999633789062,305.55999755859375
2023-05-02,168.5399932861328,305.4100036621094
2023-05-03,167.4499969482422,304.3999938964844
2023-05-04,165.7899932861328,305.4100036621094
2023-05-05,173.57000732421875,310.6499938964844
2023-05-08,173.5,308.6499938964844
2023-05-09,171.77000427246094,307.0
2023-05-10,173.55999755859375,312.30999755859375
2023-05-11,173.75,310.1099853515625
2023-05-12,172.57000732421875,308.9700012207031
2023-05-15,172.07000732421875,309.4599914550781
2023-05-16,172.07000732421875,311.739990234375
2023-05-17,172.69000244140625,314.0
2023-05-18,175.0500030517578,318.5199890136719
2023-05-19,175.16000366210938,318.3399963378906
2023-05-22,174.1999969482422,321.17999267578125
2023-05-23,171.55999755859375,315.260009765625
2023-05-24,171.83999633789062,313.8500061035156
2023-05-25,172.99000549316406,325.9200134277344
2023-05-26,175.42999267578125,332.8900146484375
2023-05-30,177.3000030517578,331.2099914550781
2023-05-31,177.25,328.3900146484375
2023-06-01,180.08999633789062,332.5799865722656
2023-06-02,180.9499969482422,335.3999938964844
2023-06-05,179.5800018310547,335.94000244140625
2023-06-06,179.2100067138672,333.67999267578125
2023-06-07,177.82000732421875,323.3800048828125
2023-06-08,180.57000732421875,325.260009765625
2023-06-09,180.9600067138672,326.7900085449219
2023-06-12,183.7899932861328,331.8500061035156
2023-06-13,183.30999755859375,334.2900085449219
2023-06-14,183.9499969482422,337.3399963378906
2023-06-15,186.00999450683594,348.1000061035156
2023-06-16,184.9199981689453,342.3299865722656
2023-06-20,185.00999450683594,338.04998779296875
2023-06-21,183.9600067138672,333.55999755859375
2023-06-22,187.0,339.7099914550781
2023-06-23,186.67999267578125,335.0199890136719
2023-06-26,185.27000427246094,328.6000061035156
2023-06-27,188.05999755859375,334.57000732421875
2023-06-28,189.25,335.8500061035156
2023-06-29,189.58999633789062,335.04998779296875
